Image Number, Size, Density, Response, Time, Correct?
3,2, -1, 1, 1.006187915802002, 0
2,1, -1, 0, 1.151458978652954, 1
1,0, -1, 1, 1.5907988548278809, 0
5,1, -1, 1, 0.9798610210418701, 0
4,0, -1, 1, 0.7712759971618652, 0
6,2, -1, 1, 0.8799057006835938, 0
7,0, -1, 1, 0.729118824005127, 0
16,0, 1, 1, 1.0934500694274902, 0
17,1, 1, 1, 1.0667760372161865, 0
29,1, 0, 0, 0.8810920715332031, 0
15,2, 1, 1, 0.9746570587158203, 0
14,1, 1, 0, 0.9027159214019775, 1
28,0, 0, 0, 2.2846248149871826, 0
10,0, -1, 1, 0.7491679191589355, 0
38,0, 0, 0, 1.1749451160430908, 0
39,0, 0, 0, 0.9445900917053223, 0
11,1, -1, 1, 0.7048342227935791, 0
13,0, 1, 1, 0.8830070495605469, 0
12,2, -1, 1, 1.173137903213501, 0
23,1, 1, 1, 1.0411169528961182, 0
37,0, 0, 0, 0.725085973739624, 0
36,2, 0, 0, 1.2194058895111084, 0
22,0, 1, 1, 1.271470069885254, 0
34,0, 0, 0, 0.8784339427947998, 0
20,1, 1, 1, 1.1548421382904053, 0
21,2, 1, 1, 0.8753561973571777, 0
35,1, 0, 0, 0.7886130809783936, 0
31,0, 0, 0, 0.7696318626403809, 0
25,0, 0, 0, 0.7049970626831055, 0
19,0, 1, 1, 0.6536059379577637, 0
18,2, 1, 1, 1.1964788436889648, 0
24,2, 1, 1, 0.8696870803833008, 0
30,2, 0, 0, 0.9912130832672119, 0
26,1, 0, 0, 1.4611539840698242, 0
32,1, 0, 0, 0.8532600402832031, 0
33,2, 0, 0, 0.7366740703582764, 0
27,2, 0, 0, 0.8108499050140381, 0
40,0, 0, 0, 0.566072940826416, 0
41,0, 0, 0, 1.2118089199066162, 0
9,2, -1, 1, 0.626474142074585, 0
8,1, -1, 1, 1.1413309574127197, 0
42,0, 0, 0, 0.9722588062286377, 0
