,1.6979279518127441
m,1.4341309070587158
m,1.5874571800231934
m,0.9409370422363281
m,1.0339090824127197
m,1.2067608833312988
m,0.820958137512207
m,1.0308098793029785
m,1.750870943069458
m,1.192741870880127
z,1.6813359260559082
m,2.0550830364227295
m,2.4640791416168213
m,1.6556129455566406
m,5.334494113922119
z,1.5563080310821533
z,1.4328241348266602
m,0.9057109355926514
m,1.4344191551208496
m,0.9362540245056152
m,1.9738409519195557
z,1.28985595703125
z,1.6147477626800537
m,1.9758059978485107
z,2.320399761199951
m,0.6469769477844238
m,1.8613178730010986
z,1.0487620830535889
z,1.0130870342254639
z,1.1886658668518066
m,0.6775250434875488
m,1.4569690227508545
m,0.994744062423706
z,2.540329933166504
z,0.9203770160675049
z,1.3866539001464844
z,2.31903076171875
z,1.8239619731903076
z,1.0575659275054932
z,2.691046953201294
m,0.7306451797485352
m,0.8788080215454102
z,1.3277308940887451
