Image Number, Size, Density, Response, Time, Correct?
1,0,-1,1,0.940937042,0
2,1,-1,1,1.58745718,0
3,2,-1,1,1.434130907,0
4,0,-1,1,1.206760883,0
5,1,-1,1,1.033909082,0
6,2,-1,1,0.820958138,0
7,0,-1,1,1.030809879,0
8,1,-1,1,0.878808022,0
9,2,-1,1,0.73064518,0
10,0,-1,1,5.334494114,0
11,1,-1,1,0.905710936,0
12,2,-1,1,0.936254025,0
13,0,1,1,1.434419155,0
14,1,1,1,2.464079142,0
15,2,1,1,2.055083036,0
16,0,1,1,1.750870943,0
17,1,1,1,1.192741871,0
18,2,1,1,1.456969023,0
19,0,1,1,0.677525043,0
20,1,1,1,0.646976948,0
21,2,1,1,1.861317873,0
22,0,1,1,1.975805998,0
23,1,1,1,1.973840952,0
24,2,1,1,0.994744062,0
25,0,0,0,1.188665867,0
26,1,0,0,0.920377016,0
27,2,0,0,1.823961973,0
28,0,0,1,1.655612946,1
29,1,0,0,1.681335926,0
30,2,0,0,2.540329933,0
31,0,0,0,1.013087034,0
32,1,0,0,1.3866539,0
33,2,0,0,2.319030762,0
34,0,0,0,2.320399761,0
35,1,0,0,1.048762083,0
36,2,0,0,1.614747763,0
37,0,0,0,1.289855957,0
38,1,0,0,1.556308031,0
39,2,0,0,1.432824135,0
40,0,0,0,1.057565928,0
41,1,0,0,2.691046953,0
42,2,0,0,1.327730894,0
