Image Number, Size, Density, Response, Time, Correct?
3,2,-1,1,5.671610832,0
2,1,-1,1,1.035360813,0
1,0,-1,1,1.490996122,0
5,1,-1,1,1.202110052,0
4,0,-1,1,1.253228903,0
6,2,-1,1,0.940248966,0
7,0,-1,1,1.194458246,0
16,0,1,1,1.321131945,0
17,1,1,1,1.172436953,0
29,1,0,0,1.141795874,0
15,2,1,1,1.036145687,0
14,1,1,1,1.290733099,0
28,0,0,0,1.003175974,0
10,0,-1,1,1.196470976,0
38,0,0,0,0.906730175,0
39,0,0,0,1.057907104,0
11,1,-1,1,0.714663982,0
13,0,1,1,1.09385705,0
12,2,-1,1,1.381176233,0
23,1,1,1,1.120744944,0
37,0,0,0,0.716663122,0
36,2,0,0,0.965569019,0
22,0,1,1,0.807241201,0
34,0,0,0,0.797304153,0
20,1,1,1,0.858731031,0
21,2,1,0,0.836186886,1
35,1,0,0,1.058250427,0
31,0,0,0,0.883820057,0
25,0,0,0,0.873857975,0
19,0,1,1,1.076296329,0
18,2,1,1,0.737511873,0
24,2,1,1,0.883615017,0
30,2,0,0,0.894453049,0
26,1,0,0,0.859604836,0
32,1,0,0,0.890693903,0
33,2,0,0,0.913537025,0
27,2,0,0,0.880676985,0
40,0,0,0,0.812098026,0
41,0,0,0,0.802693129,0
9,2,-1,1,0.659224987,0
8,1,-1,1,0.726234913,0
42,0,0,0,0.685024023,0
