,9.718194007873535
m,2.3524091243743896
m,4.673917055130005
m,1.52577805519104
m,1.9246888160705566
m,1.4344499111175537
m,2.5773088932037354
m,1.2776319980621338
z,1.1543209552764893
m,1.1600310802459717
z,1.725158929824829
m,1.0919530391693115
m,1.3393709659576416
z,0.9346213340759277
m,1.7562260627746582
z,0.9492769241333008
z,1.4283356666564941
m,1.542362928390503
m,1.6884291172027588
m,1.7590420246124268
m,2.196310043334961
z,1.3787250518798828
z,2.4770781993865967
m,2.4513919353485107
z,2.2350809574127197
m,1.0513551235198975
m,1.2588627338409424
z,1.5709049701690674
z,1.2117669582366943
z,1.127098798751831
m,0.7949159145355225
m,1.933279037475586
m,2.704317092895508
m,1.4136271476745605
m,2.0066957473754883
m,2.0429821014404297
z,2.301334857940674
z,1.1082251071929932
z,1.2564201354980469
z,2.1332428455352783
m,2.2631192207336426
m,1.7071099281311035
z,0.986079216003418
