Image Number, Size, Density, Response, Time, Correct?
3,2, -1, 1, 2.3524091243743896, 0
2,1, -1, 1, 4.673917055130005, 0
1,0, -1, 1, 1.52577805519104, 0
5,1, -1, 1, 1.9246888160705566, 0
4,0, -1, 1, 1.4344499111175537, 0
6,2, -1, 1, 2.5773088932037354, 0
7,0, -1, 1, 1.2776319980621338, 0
16,0, 1, 0, 1.1543209552764893, 1
17,1, 1, 1, 1.1600310802459717, 0
29,1, 0, 0, 1.725158929824829, 0
15,2, 1, 1, 1.0919530391693115, 0
14,1, 1, 1, 1.3393709659576416, 0
28,0, 0, 0, 0.9346213340759277, 0
10,0, -1, 1, 1.7562260627746582, 0
38,1, 0, 0, 0.9492769241333008, 0
39,2, 0, 0, 1.4283356666564941, 0
11,1, -1, 1, 1.542362928390503, 0
13,0, 1, 1, 1.6884291172027588, 0
12,2, -1, 1, 1.7590420246124268, 0
23,1, 1, 1, 2.196310043334961, 0
37,0, 0, 0, 1.3787250518798828, 0
36,2, 0, 0, 2.4770781993865967, 0
22,0, 1, 1, 2.4513919353485107, 0
34,0, 0, 0, 2.2350809574127197, 0
20,1, 1, 1, 1.0513551235198975, 0
21,2, 1, 1, 1.2588627338409424, 0
35,1, 0, 0, 1.5709049701690674, 0
31,0, 0, 0, 1.2117669582366943, 0
25,0, 0, 0, 1.127098798751831, 0
19,0, 1, 1, 0.7949159145355225, 0
18,2, 1, 1, 1.933279037475586, 0
24,2, 1, 1, 2.704317092895508, 0
30,2, 0, 1, 1.4136271476745605, 1
26,1, 0, 1, 2.0066957473754883, 1
32,1, 0, 1, 2.0429821014404297, 1
33,2, 0, 0, 2.301334857940674, 0
27,2, 0, 0, 1.1082251071929932, 0
40,0, 0, 0, 1.2564201354980469, 0
41,1, 0, 0, 2.1332428455352783, 0
9,2, -1, 1, 2.2631192207336426, 0
8,1, -1, 1, 1.7071099281311035, 0
42,2, 0, 0, 0.986079216003418, 0
