Image Number, Size, Density, Response, Time, Correct?
3,2, -1, 1, 1.4259848594665527, 0
2,1, -1, 1, 1.101121187210083, 0
1,0, -1, 1, 1.1041011810302734, 0
5,1, -1, 1, 0.9995687007904053, 0
4,0, -1, 1, 1.105151891708374, 0
6,2, -1, 1, 0.9440031051635742, 0
7,0, -1, 1, 1.144711971282959, 0
16,0, 1, 1, 1.256728172302246, 0
17,1, 1, 1, 0.9821479320526123, 0
29,1, 0, 0, 1.1897478103637695, 0
15,2, 1, 1, 1.2373411655426025, 0
14,1, 1, 1, 1.353154182434082, 0
28,0, 0, 0, 1.2375988960266113, 0
10,0, -1, 1, 1.1250486373901367, 0
38,1, 0, 0, 1.0251340866088867, 0
39,2, 0, 0, 1.1617772579193115, 0
11,1, -1, 1, 0.7814481258392334, 0
13,0, 1, 1, 1.7054271697998047, 0
12,2, -1, 1, 1.7158010005950928, 0
23,1, 1, 1, 1.0211451053619385, 0
37,0, 0, 0, 0.6981959342956543, 0
36,2, 0, 0, 1.0290889739990234, 0
22,0, 1, 0, 1.0242300033569336, 1
34,0, 0, 0, 0.7351751327514648, 0
20,1, 1, 1, 0.7297930717468262, 0
21,2, 1, 1, 1.129896879196167, 0
35,1, 0, 0, 0.9461190700531006, 0
31,0, 0, 0, 0.819608211517334, 0
25,0, 0, 0, 0.8637819290161133, 0
19,0, 1, 1, 0.7538528442382812, 0
18,2, 1, 1, 1.1902871131896973, 0
24,2, 1, 1, 0.7358729839324951, 0
30,2, 0, 0, 1.399278163909912, 0
26,1, 0, 0, 0.9750640392303467, 0
32,1, 0, 0, 1.1317849159240723, 0
33,2, 0, 0, 0.8935642242431641, 0
27,2, 0, 0, 0.8739080429077148, 0
40,0, 0, 0, 2.673429012298584, 0
41,1, 0, 0, 1.3314502239227295, 0
9,2, -1, 1, 0.6423261165618896, 0
8,1, -1, 0, 2.5458810329437256, 1
42,2, 0, 0, 2.468075752258301, 0
