Image Number, Size, Density, Response, Time, Correct?
3,2, -1, 1, 3.8917181491851807, 0
2,1, -1, 1, 0.7290220260620117, 0
1,0, -1, 1, 0.6983299255371094, 0
5,1, -1, 1, 0.7747130393981934, 0
4,0, -1, 1, 0.752190351486206, 0
6,2, -1, 1, 0.6982460021972656, 0
7,0, -1, 0, 0.7966899871826172, 1
16,0, 1, 0, 0.7007501125335693, 1
17,1, 1, 0, 0.9426209926605225, 1
29,1, 0, 0, 1.6072380542755127, 0
15,2, 1, 0, 1.4521641731262207, 1
14,1, 1, 1, 1.3422248363494873, 0
28,0, 0, 1, 1.0105581283569336, 1
10,0, -1, 1, 1.6270289421081543, 0
38,0, 0, 1, 0.9152100086212158, 1
39,0, 0, 0, 2.064202070236206, 0
11,1, -1, 1, 0.8205671310424805, 0
13,0, 1, 0, 0.7117471694946289, 1
12,2, -1, 0, 1.1705830097198486, 1
23,1, 1, 0, 2.1345369815826416, 1
37,0, 0, 0, 1.3715991973876953, 0
36,2, 0, 0, 0.8524413108825684, 0
22,0, 1, 1, 1.113232135772705, 0
34,0, 0, 0, 1.1194939613342285, 0
20,1, 1, 0, 1.0688831806182861, 1
21,2, 1, 1, 2.0068230628967285, 0
35,1, 0, 0, 1.3752319812774658, 0
31,0, 0, 0, 0.8859939575195312, 0
25,0, 0, 0, 0.5967330932617188, 0
19,0, 1, 1, 1.1666879653930664, 0
18,2, 1, 1, 1.4296767711639404, 0
24,2, 1, 1, 0.9940531253814697, 0
30,2, 0, 1, 1.218641996383667, 1
26,1, 0, 0, 1.1588819026947021, 0
32,1, 0, 0, 0.6172099113464355, 0
33,2, 0, 0, 0.5476729869842529, 0
27,2, 0, 0, 0.6199939250946045, 0
40,0, 0, 0, 0.49878478050231934, 0
41,0, 0, 0, 0.4207797050476074, 0
9,2, -1, 1, 0.6430618762969971, 0
8,1, -1, 1, 0.7190651893615723, 0
42,0, 0, 0, 0.760861873626709, 0
